epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,dropout_rate,weight_decay
1,0.6921285197054281,0.6914721059076714,0.5551157844990549,0.5653409090909091,1e-05,0,0.0001
2,0.6902777457958359,0.6896676845622786,0.6028473534971645,0.6164772727272727,1e-05,0,0.0001
3,0.68833680786122,0.6876435026978002,0.6303757088846881,0.6382575757575758,1e-05,0,0.0001
4,0.686021717149053,0.6852840754118833,0.6514650283553876,0.6491477272727273,1e-05,0,0.0001
5,0.6832936710355864,0.6825605296727383,0.6525874291115312,0.6505681818181818,1e-05,0,0.0001
6,0.680139361459952,0.6794444566423242,0.6574905482041588,0.6524621212121212,1e-05,0,0.0001
7,0.6767808503149138,0.675981772668434,0.6556592627599244,0.6595643939393939,1e-05,0,0.0001
8,0.6729994896228912,0.6722524247386239,0.657608695652174,0.6595643939393939,1e-05,0,0.0001
9,0.668642923376736,0.6683688895268873,0.6611531190926276,0.6586174242424242,1e-05,0,0.0001
10,0.6650298214139019,0.6643348444591869,0.6599125708884688,0.6557765151515151,1e-05,0,0.0001
11,0.6603656910317607,0.6603845439173959,0.662452741020794,0.6600378787878788,1e-05,0,0.0001
12,0.6565391855113674,0.6564748765844287,0.661921077504726,0.6595643939393939,1e-05,0,0.0001
13,0.6518975777977581,0.6526713578990011,0.6652292060491494,0.6590909090909091,1e-05,0,0.0001
14,0.6482391613192279,0.6489953633510706,0.6638114366729678,0.6609848484848485,1e-05,0,0.0001
15,0.6437961534651556,0.6455353155280604,0.6660562381852552,0.6647727272727273,1e-05,0,0.0001
16,0.6406952970870726,0.6422456114581137,0.6649338374291115,0.6652462121212122,1e-05,0,0.0001
17,0.6374561805806223,0.6392162117091092,0.6653473534971645,0.6642992424242424,1e-05,0,0.0001
18,0.6345236218043221,0.6364432772000631,0.665406427221172,0.6609848484848485,1e-05,0,0.0001
19,0.6308886816686403,0.6338833344705177,0.6683010396975425,0.6638257575757576,1e-05,0,0.0001
20,0.6284789217667679,0.6315486367904779,0.6661153119092628,0.662405303030303,1e-05,0,0.0001
21,0.6253323596682124,0.6294249232971307,0.6684191871455577,0.6605113636363636,1e-05,0,0.0001
22,0.623634895214737,0.6274090246720747,0.6670014177693762,0.6633522727272727,1e-05,0,0.0001
23,0.6204982602190656,0.6255951930176128,0.669718809073724,0.6647727272727273,1e-05,0,0.0001
24,0.6187197049984634,0.6239326695601145,0.6701913988657845,0.665719696969697,1e-05,0,0.0001
25,0.6167563906464099,0.6223747594790026,0.6716091682419659,0.665719696969697,1e-05,0,0.0001
26,0.6154053232620253,0.6209304910717588,0.6696006616257089,0.6652462121212122,1e-05,0,0.0001
27,0.6129808808995555,0.6196661966316628,0.6725543478260869,0.6628787878787878,1e-05,0,0.0001
28,0.6120156949431774,0.6184294273455938,0.6715500945179584,0.6633522727272727,1e-05,0,0.0001
29,0.6104130805214772,0.6173258536692822,0.6727906427221172,0.6642992424242424,1e-05,0,0.0001
30,0.6091547599924986,0.6163077295729609,0.6724362003780718,0.6628787878787878,1e-05,0,0.0001
31,0.6079186636017941,0.6154164753176949,0.6726134215500945,0.662405303030303,1e-05,0,0.0001
32,0.6068070951166135,0.6145064148939017,0.673086011342155,0.6633522727272727,1e-05,0,0.0001
33,0.6059023951424993,0.6137470327543489,0.6732041587901701,0.6647727272727273,1e-05,0,0.0001
34,0.60393564017148,0.6129845814271406,0.6761578449905482,0.6661931818181818,1e-05,0,0.0001
35,0.6034276985153133,0.612315858855392,0.6732041587901701,0.665719696969697,1e-05,0,0.0001
36,0.6021538700746454,0.6115943626923994,0.6758034026465028,0.6685606060606061,1e-05,0,0.0001
37,0.602795769677045,0.6109760814543926,0.6742674858223062,0.6714015151515151,1e-05,0,0.0001
38,0.6012608035412988,0.6104576872153715,0.6747400756143668,0.6709280303030303,1e-05,0,0.0001
39,0.6001191436681045,0.6099815278342275,0.6752126654064272,0.6709280303030303,1e-05,0,0.0001
40,0.5989987225410843,0.6094988417444807,0.6771030245746692,0.6699810606060606,1e-05,0,0.0001
41,0.5983241813958029,0.6090575962355642,0.6778709829867675,0.671875,1e-05,0,0.0001
42,0.5975951999707574,0.6086722418214335,0.678875236294896,0.6714015151515151,1e-05,0,0.0001
43,0.5988518202462584,0.6082305334734194,0.6767485822306238,0.6728219696969697,1e-05,0,0.0001
44,0.5962893122874046,0.6078915148973465,0.6789343100189036,0.6728219696969697,1e-05,0,0.0001
45,0.5963774900918647,0.6074734596592007,0.677398393194707,0.6747159090909091,1e-05,0,0.0001
46,0.595181936577723,0.6071612911693978,0.6799976370510397,0.6747159090909091,1e-05,0,0.0001
47,0.5949180494634776,0.6067701049826362,0.6805883742911153,0.6728219696969697,1e-05,0,0.0001
48,0.5939710534587925,0.606435063661951,0.6806474480151229,0.6756628787878788,1e-05,0,0.0001
49,0.5940795182505717,0.6060755022547462,0.6811791115311909,0.6742424242424242,1e-05,0,0.0001
50,0.5932482369455363,0.605953544829831,0.6828922495274102,0.6770833333333334,1e-05,0,0.0001
51,0.5926245859417437,0.605712379470016,0.683601134215501,0.6775568181818182,1e-05,0,0.0001
52,0.5923195711155695,0.6053899043437206,0.6841918714555766,0.6747159090909091,1e-05,0,0.0001
53,0.5919435553266781,0.6051035545992128,0.6840146502835539,0.6751893939393939,1e-05,0,0.0001
54,0.5908237189786871,0.6048742185036341,0.6849598298676749,0.6761363636363636,1e-05,0,0.0001
55,0.5907850556202331,0.604655206655011,0.6855505671077504,0.6766098484848485,1e-05,0,0.0001
56,0.590041048303669,0.604481199925596,0.6854914933837429,0.6770833333333334,1e-05,0,0.0001
57,0.5899746060258725,0.6042783016508276,0.6858459357277883,0.6761363636363636,1e-05,0,0.0001
58,0.5893485089218233,0.604012516411868,0.685609640831758,0.6761363636363636,1e-05,0,0.0001
59,0.5890124523008704,0.6038835567958427,0.6858459357277883,0.6761363636363636,1e-05,0,0.0001
60,0.5882573710694655,0.6035944431117086,0.6864957466918714,0.6742424242424242,1e-05,0,0.0001
61,0.5879692971030345,0.6034697429700331,0.6862594517958412,0.6751893939393939,1e-05,0,0.0001
62,0.5883205670490157,0.6032593765042045,0.686968336483932,0.6756628787878788,1e-05,0,0.0001
63,0.5876013697433111,0.6031528313954672,0.6853142722117203,0.6761363636363636,1e-05,0,0.0001
64,0.5869764577745264,0.6029276269854922,0.6869092627599244,0.6775568181818182,1e-05,0,0.0001
65,0.5870063485179822,0.6028724931406252,0.6872046313799622,0.678030303030303,1e-05,0,0.0001
66,0.5862861024409476,0.602642561450149,0.6872637051039697,0.6770833333333334,1e-05,0,0.0001
67,0.5870028277313326,0.6024495024572719,0.6875,0.6742424242424242,1e-05,0,0.0001
68,0.5859868285899351,0.6023663160475817,0.6872046313799622,0.6761363636363636,1e-05,0,0.0001
69,0.5864595611965273,0.602250643751838,0.6859050094517959,0.6766098484848485,1e-05,0,0.0001
70,0.5854011649558134,0.6021347027836423,0.6879725897920604,0.6766098484848485,1e-05,0,0.0001
71,0.586361917802652,0.6019703533613321,0.6878544423440454,0.6770833333333334,1e-05,0,0.0001
72,0.5858033435781872,0.6019502787879019,0.6880907372400756,0.6770833333333334,1e-05,0,0.0001
73,0.587882664456034,0.6017494684819019,0.6881498109640832,0.6785037878787878,1e-05,0,0.0001
