epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,dropout_rate,weight_decay
1,0.6358591133344826,0.6094533448869531,0.6465028355387523,0.6751893939393939,0.0005,0.2,0.0001
2,0.5943949022568016,0.6049576315915945,0.6779891304347826,0.6875,0.0005,0.2,0.0001
3,0.5852885556130869,0.5946333349654169,0.6885042533081286,0.6889204545454546,0.0005,0.2,0.0001
4,0.5771081085917179,0.5928776742834033,0.693702741020794,0.6851325757575758,0.0005,0.2,0.0001
5,0.5695094305648696,0.5885881009426984,0.6993738185255198,0.6870265151515151,0.0005,0.2,0.0001
6,0.5621878896859283,0.5881065870776321,0.7048086011342155,0.6946022727272727,0.0005,0.2,0.0001
7,0.553841997494319,0.5842192981279257,0.711602079395085,0.6927083333333334,0.0005,0.2,0.0001
8,0.5466195566893075,0.5834263143214312,0.7208766540642723,0.6870265151515151,0.0005,0.2,0.0001
9,0.5388048355712332,0.581828162074089,0.7282608695652174,0.7017045454545454,0.0005,0.2,0.0001
10,0.5325556697714757,0.5820262106982145,0.7349952741020794,0.6946022727272727,0.0005,0.2,0.0001
11,0.5203656569433122,0.5807005979798057,0.7454513232514177,0.7040719696969697,0.0005,0.2,0.0001
12,0.5132102244630428,0.5786964943011602,0.75,0.7002840909090909,0.0005,0.2,0.0001
13,0.5041109516737817,0.5805311528119174,0.7569706994328923,0.6993371212121212,0.0005,0.2,0.0001
14,0.4966566475330093,0.5804605249202612,0.7614603024574669,0.7050189393939394,0.0005,0.2,0.0001
15,0.49136329953521773,0.5873194522026813,0.7670132325141777,0.7059659090909091,0.0005,0.2,0.0001
16,0.48025809669962227,0.5809678448872133,0.7758742911153119,0.6950757575757576,0.0005,0.2,0.0001
17,0.470336990117576,0.5832254769224109,0.7811318525519849,0.7083333333333334,0.0005,0.2,0.0001
18,0.46128392777984895,0.5838633622183944,0.7878071833648393,0.6946022727272727,0.0005,0.2,0.0001
19,0.45151535189219366,0.5895507516282977,0.7963728733459358,0.7012310606060606,0.0005,0.2,0.0001
20,0.44630129776176747,0.5901674984982519,0.8000354442344045,0.6960227272727273,0.0005,0.2,0.0001
21,0.4357534911208883,0.5895133578416073,0.8057065217391305,0.7054924242424242,0.0005,0.2,0.0001
22,0.4282487413664621,0.5932377888397737,0.8103142722117203,0.7017045454545454,0.0005,0.2,0.0001
