epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,1.790038821750217,1.7172942398287725,0.29088888888888886,0.3276100334123517,0.0001,8,16,0.1,0.0001,cross_entropy
2,1.7057110579808552,1.6752661026961415,0.342,0.35149405526776684,0.0001,8,16,0.1,0.0001,cross_entropy
3,1.681631763458252,1.6664989434235484,0.3561666666666667,0.3452883815089016,0.0001,8,16,0.1,0.0001,cross_entropy
4,1.6649935486051772,1.6572019343680524,0.3631388888888889,0.3543752609415257,0.0001,8,16,0.1,0.0001,cross_entropy
5,1.6517173876232571,1.6469853837439354,0.36716666666666664,0.36127190239040563,0.0001,8,16,0.1,0.0001,cross_entropy
6,1.6413783932791817,1.640138051188584,0.37305555555555553,0.3648180016811858,0.0001,8,16,0.1,0.0001,cross_entropy
7,1.6323425821728177,1.6380940988554176,0.3771111111111111,0.35728254068827797,0.0001,8,16,0.1,0.0001,cross_entropy
8,1.6249320180681017,1.6316795721121713,0.3819444444444444,0.3636837715798236,0.0001,8,16,0.1,0.0001,cross_entropy
9,1.615217622756958,1.6315268134394436,0.38325,0.37141478949404777,0.0001,8,16,0.1,0.0001,cross_entropy
10,1.6086324003007677,1.632230410339139,0.3893333333333333,0.3658740093522038,0.0001,8,16,0.1,0.0001,cross_entropy
11,1.6013657585779826,1.6246006006890155,0.3899722222222222,0.36922455172166757,0.0001,8,16,0.1,0.0001,cross_entropy
12,1.5943870832655165,1.6303212515851284,0.39461111111111113,0.3698633710543315,0.0001,8,16,0.1,0.0001,cross_entropy
13,1.5925980897479588,1.6371009070822533,0.3933611111111111,0.37033270775003635,0.0001,8,16,0.1,0.0001,cross_entropy
14,1.5854316718843249,1.6255802989851498,0.39605555555555555,0.37254901980677396,0.0001,8,16,0.1,0.0001,cross_entropy
