epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,dropout_rate,weight_decay
1,1.8972583559883964,1.8557542131302205,0.26911111111111113,0.27890331673283947,0.0005,0.1,0.0001
2,1.8340367190043132,1.8381151637287005,0.29533333333333334,0.2957472883640452,0.0005,0.1,0.0001
3,1.8120794934166802,1.8309529749214226,0.3006111111111111,0.2937526075129813,0.0005,0.1,0.0001
4,1.7996371023390028,1.8269220150954335,0.30366666666666664,0.28178452240659835,0.0005,0.1,0.0001
5,1.788735314157274,1.8277315594625811,0.3056111111111111,0.29308771389596006,0.0005,0.1,0.0001
6,1.780773492389255,1.8227402521363387,0.30944444444444447,0.2846918022590326,0.0005,0.1,0.0001
7,1.7722429926130507,1.8202420371644041,0.31433333333333335,0.2846657280803572,0.0005,0.1,0.0001
8,1.7643399729198879,1.8195391208567517,0.3176388888888889,0.2830882353562835,0.0005,0.1,0.0001
9,1.755930842505561,1.817391814069545,0.32016666666666665,0.28732530254844235,0.0005,0.1,0.0001
10,1.7469926226933796,1.817407361159088,0.32369444444444445,0.2724760117683005,0.0005,0.1,0.0001
11,1.7381786422729493,1.8170288336192462,0.3248888888888889,0.28710367134276854,0.0005,0.1,0.0001
12,1.729745800336202,1.8186670499490507,0.329,0.27934657914418703,0.0005,0.1,0.0001
13,1.7219957007302178,1.8166336379152663,0.33461111111111114,0.2930355653272453,0.0005,0.1,0.0001
14,1.7127970510058932,1.816025898811665,0.3401666666666667,0.28510899049170474,0.0005,0.1,0.0001
15,1.7051124980714587,1.817594069961115,0.3412777777777778,0.2831143096406409,0.0005,0.1,0.0001
16,1.694425399992201,1.816502183041674,0.3483888888888889,0.29261837720025513,0.0005,0.1,0.0001
17,1.6853261013031007,1.8142274170057149,0.35033333333333333,0.28286660415060977,0.0005,0.1,0.0001
18,1.674233691321479,1.8192323666092352,0.3545833333333333,0.294443575308678,0.0005,0.1,0.0001
19,1.6642458635965982,1.8175370228206011,0.35994444444444446,0.2875469337541161,0.0005,0.1,0.0001
20,1.6556493679682414,1.8165356707065663,0.3626111111111111,0.28757300793279145,0.0005,0.1,0.0001
21,1.6439872284995185,1.8199266296751955,0.36827777777777776,0.2944175011300026,0.0005,0.1,0.0001
22,1.6344407612482708,1.8239798444382689,0.3731111111111111,0.2933093451016338,0.0005,0.1,0.0001
23,1.6225004861619738,1.8282589143049632,0.378,0.30175740509591203,0.0005,0.1,0.0001
24,1.6132849779129028,1.8228599019084417,0.37877777777777777,0.2950823947470239,0.0005,0.1,0.0001
25,1.6008269261254204,1.8242665791342445,0.38622222222222224,0.2928660826902863,0.0005,0.1,0.0001
26,1.5885844518873427,1.827900341216554,0.38772222222222225,0.2940003128973305,0.0005,0.1,0.0001
27,1.5789983418782552,1.830169271070061,0.3942222222222222,0.29308771389596006,0.0005,0.1,0.0001
