epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,1.9076533867518106,1.8500338589891474,0.23330555555555554,0.2815107426322098,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
2,1.8318978459040325,1.79691725250677,0.29647222222222225,0.29062369634919133,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
3,1.7989101964102852,1.77477136486811,0.3054722222222222,0.29904568216479416,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
4,1.7805805122587417,1.7647842025080471,0.31227777777777777,0.3107399874967886,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
5,1.7685335903167725,1.7577678193437292,0.3165833333333333,0.3156419483059687,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
6,1.7557480953004625,1.7513624750976022,0.31975,0.32871818944072045,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
7,1.7442784100638495,1.7496696761313906,0.324,0.30638558623638557,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
8,1.73288179175059,1.7480043265836458,0.32808333333333334,0.3181059658527374,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
9,1.7260749983257717,1.7402055990611407,0.3318611111111111,0.30300896958256446,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
10,1.7172214090559217,1.7421790285313383,0.3323333333333333,0.3134517105335885,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
11,1.7108519382476806,1.7470166260469044,0.3357777777777778,0.30613788074635445,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
12,1.7007438066270617,1.7444685029645337,0.33808333333333335,0.3096839800371346,0.0001,8,16,0.1,0.0001,weighted_cross_entropy
