epoch,train_loss,val_loss,train_accuracy,val_accuracy,lr,weight_decay,loss_function
1,0.5484303490647787,0.4859982704122861,0.7109704641350211,0.7505208333333333,0.0001,0.0001,cross_entropy
2,0.48325968392287627,0.4718682130177816,0.7594277426160337,0.75625,0.0001,0.0001,cross_entropy
3,0.4657723011472557,0.468583399305741,0.7675369198312236,0.7588541666666667,0.0001,0.0001,cross_entropy
4,0.450680439262199,0.46023028790950776,0.7735363924050633,0.778125,0.0001,0.0001,cross_entropy
5,0.443696959769424,0.4760727795461814,0.7799314345991561,0.7520833333333333,0.0001,0.0001,cross_entropy
6,0.4286027621745057,0.4605526233712832,0.7915348101265823,0.7755208333333333,0.0001,0.0001,cross_entropy
7,0.42027262076421124,0.4679163843393326,0.792457805907173,0.7713541666666667,0.0001,0.0001,cross_entropy
