epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.5965886451775515,0.5085713505744934,0.6656118143459916,0.74375,0.0001,8,16,0.1,0.0001,cross_entropy
2,0.5020691119291611,0.48326779454946517,0.7451213080168776,0.7609375,0.0001,8,16,0.1,0.0001,cross_entropy
3,0.48172703234455255,0.47276417861382164,0.7582410337552743,0.7682291666666666,0.0001,8,16,0.1,0.0001,cross_entropy
4,0.46977665919794814,0.47875229865312574,0.7654272151898734,0.7619791666666667,0.0001,8,16,0.1,0.0001,cross_entropy
5,0.46271213983433157,0.4604853237668673,0.771756329113924,0.7734375,0.0001,8,16,0.1,0.0001,cross_entropy
6,0.45208762479230824,0.4528274767100811,0.7756460970464135,0.7828125,0.0001,8,16,0.1,0.0001,cross_entropy
7,0.4491056386805788,0.4593798940380414,0.7790084388185654,0.7739583333333333,0.0001,8,16,0.1,0.0001,cross_entropy
8,0.4414020142977751,0.44817576855421065,0.7831619198312236,0.7869791666666667,0.0001,8,16,0.1,0.0001,cross_entropy
9,0.43738209644827664,0.4530413389205933,0.7886339662447257,0.7833333333333333,0.0001,8,16,0.1,0.0001,cross_entropy
10,0.42928154930032253,0.450192911674579,0.791798523206751,0.7828125,0.0001,8,16,0.1,0.0001,cross_entropy
11,0.42466760649962765,0.46057130545377734,0.794501582278481,0.778125,0.0001,8,16,0.1,0.0001,cross_entropy
