epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,dropout_rate,weight_decay
1,0.604836899771469,0.5333306839068731,0.6553929324894515,0.715625,0.0005,0.2,0
2,0.5466081439065531,0.5196309422453245,0.7195411392405063,0.7286458333333333,0.0005,0.2,0
3,0.5372193345666435,0.5227022488911947,0.7256065400843882,0.7510416666666667,0.0005,0.2,0
4,0.5300283922424799,0.5114105135202408,0.732001582278481,0.7354166666666667,0.0005,0.2,0
5,0.5230799998286404,0.5077864383657773,0.7354298523206751,0.7296875,0.0005,0.2,0
6,0.5174208040101619,0.5064730470379194,0.7385284810126582,0.7333333333333333,0.0005,0.2,0
7,0.5098887253159712,0.5050411214431126,0.7462420886075949,0.7479166666666667,0.0005,0.2,0
8,0.5026522220312795,0.5000548124313354,0.7478243670886076,0.7411458333333333,0.0005,0.2,0
9,0.4959648477880261,0.49870993544658027,0.7560654008438819,0.7453125,0.0005,0.2,0
10,0.48942787718923786,0.49891179651021955,0.7583728902953587,0.7411458333333333,0.0005,0.2,0
11,0.47956214732007135,0.49537137150764465,0.7643064345991561,0.7541666666666667,0.0005,0.2,0
12,0.47014289066384113,0.4936911592880885,0.772745253164557,0.7458333333333333,0.0005,0.2,0
13,0.4627801454960042,0.4941374992330869,0.7779535864978903,0.7536458333333333,0.0005,0.2,0
14,0.4522860678942395,0.4928720047076543,0.7875791139240507,0.7432291666666667,0.0005,0.2,0
15,0.4441273775156037,0.48983560502529144,0.7950290084388185,0.7515625,0.0005,0.2,0
16,0.43574192950242685,0.48997336328029634,0.7981935654008439,0.7479166666666667,0.0005,0.2,0
17,0.4243381405995868,0.4918258885542552,0.8059731012658228,0.7390625,0.0005,0.2,0
18,0.4148236656805131,0.4887037386496862,0.8115110759493671,0.7442708333333333,0.0005,0.2,0
19,0.40606219645290936,0.4942531704902649,0.8175105485232067,0.7359375,0.0005,0.2,0
20,0.3949300515375057,0.4937907665967941,0.8265427215189873,0.7411458333333333,0.0005,0.2,0
21,0.3846802870872654,0.4966753214597702,0.83082805907173,0.7338541666666667,0.0005,0.2,0
22,0.3758205178543485,0.49875909835100174,0.836629746835443,0.75625,0.0005,0.2,0
23,0.36805571521384806,0.4973823105295499,0.8407832278481012,0.7442708333333333,0.0005,0.2,0
24,0.3568808725614588,0.4984011416633924,0.8500131856540084,0.740625,0.0005,0.2,0
25,0.34603222821080737,0.5017955094575882,0.8526503164556962,0.7567708333333333,0.0005,0.2,0
26,0.33518255212764697,0.5035799083610376,0.8587816455696202,0.7510416666666667,0.0005,0.2,0
27,0.33047651861035876,0.5075722453494866,0.8616824894514767,0.746875,0.0005,0.2,0
28,0.31874961918416406,0.5106831471125285,0.8677478902953587,0.7447916666666666,0.0005,0.2,0
