epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,dropout_rate,weight_decay
1,0.662417277379378,0.6273035377264022,0.609045358649789,0.6302083333333334,0.0001,0,0
2,0.5976577037120168,0.5632350012660027,0.6853243670886076,0.7036458333333333,0.0001,0,0
3,0.5574315365105239,0.5338424538572629,0.7153217299578059,0.734375,0.0001,0,0
4,0.540862407488159,0.5208247631788254,0.7273866033755274,0.7494791666666667,0.0001,0,0
5,0.5324398592303071,0.5135492414236069,0.7321334388185654,0.7510416666666667,0.0001,0,0
6,0.5273461811527421,0.5097209453582764,0.7346387130801688,0.7505208333333333,0.0001,0,0
7,0.5236868356602101,0.5069243649641673,0.7378691983122363,0.7484375,0.0001,0,0
8,0.5208653542311382,0.5049791614214579,0.7390559071729957,0.7515625,0.0001,0,0
9,0.5184733645070957,0.5037621056040128,0.7415611814345991,0.7515625,0.0001,0,0
10,0.5161531632333868,0.5033103545506795,0.741824894514768,0.7494791666666667,0.0001,0,0
11,0.5144159109469204,0.5010925317804019,0.743209388185654,0.7515625,0.0001,0,0
12,0.5126861524984303,0.5005093435446422,0.7447257383966245,0.7489583333333333,0.0001,0,0
13,0.5109268306176874,0.49940713196992875,0.7459124472573839,0.7520833333333333,0.0001,0,0
14,0.5094471156974382,0.49854531238476435,0.7472310126582279,0.7520833333333333,0.0001,0,0
15,0.5079603550429083,0.49787369817495347,0.7488132911392406,0.75,0.0001,0,0
16,0.5063207681420483,0.49762748926877975,0.7502637130801688,0.7484375,0.0001,0,0
17,0.5048725881028276,0.4968546494841576,0.7501977848101266,0.7505208333333333,0.0001,0,0
18,0.5035291286460458,0.496256111562252,0.7521756329113924,0.7505208333333333,0.0001,0,0
19,0.5022289200296884,0.4957585076491038,0.752373417721519,0.7505208333333333,0.0001,0,0
20,0.5006133500282272,0.4949574053287506,0.7532304852320675,0.7505208333333333,0.0001,0,0
21,0.49921415670763086,0.4946040565768878,0.7541534810126582,0.7520833333333333,0.0001,0,0
22,0.49791186224307693,0.49411110480626425,0.7551424050632911,0.75,0.0001,0,0
23,0.4961424286355449,0.4935821597774824,0.757449894514768,0.75,0.0001,0,0
24,0.49478008777280397,0.49317476004362104,0.7573180379746836,0.7494791666666667,0.0001,0,0
25,0.49322470136081115,0.4926305194695791,0.759823312236287,0.7515625,0.0001,0,0
26,0.4918566085869753,0.4920111094911893,0.7595595991561181,0.7473958333333334,0.0001,0,0
27,0.49021623305630585,0.4916855831940969,0.7619989451476793,0.75,0.0001,0,0
28,0.48887026344547796,0.4915485605597496,0.7616033755274262,0.7520833333333333,0.0001,0,0
29,0.4874044660525986,0.49063941041628517,0.7641086497890295,0.7526041666666666,0.0001,0,0
30,0.4855711176551344,0.4903860797484716,0.763581223628692,0.7479166666666667,0.0001,0,0
31,0.4841672050047524,0.4899035140872002,0.7629878691983122,0.7494791666666667,0.0001,0,0
32,0.48240305602802,0.48927464336156845,0.7674050632911392,0.7479166666666667,0.0001,0,0
33,0.48099310639538345,0.489170873661836,0.7674050632911392,0.7505208333333333,0.0001,0,0
34,0.4792247623330933,0.4884681090712547,0.7693169831223629,0.75,0.0001,0,0
35,0.47775578096446103,0.48839322527249657,0.7702399789029536,0.7526041666666666,0.0001,0,0
36,0.476006377975649,0.4876163944602013,0.7710311181434599,0.7494791666666667,0.0001,0,0
37,0.474337469110509,0.4878229846556981,0.7733386075949367,0.7484375,0.0001,0,0
38,0.47242109653567466,0.48907820085684456,0.7733386075949367,0.7567708333333333,0.0001,0,0
39,0.4711287417429409,0.48706241796414057,0.7743934599156118,0.7489583333333333,0.0001,0,0
40,0.4693804678157412,0.486561918258667,0.7752505274261603,0.7494791666666667,0.0001,0,0
41,0.46758107463770276,0.48639217217763264,0.776503164556962,0.7453125,0.0001,0,0
42,0.4659524365064967,0.4857900430758794,0.7786787974683544,0.7473958333333334,0.0001,0,0
43,0.46428853069050907,0.48628980269034705,0.7789425105485233,0.7479166666666667,0.0001,0,0
44,0.46248835513863384,0.4856729835271835,0.7803270042194093,0.7447916666666666,0.0001,0,0
45,0.4607390381615876,0.48498235990603766,0.7813818565400844,0.746875,0.0001,0,0
46,0.4590802986473474,0.48459066251913707,0.7820411392405063,0.7447916666666666,0.0001,0,0
47,0.4571232530386639,0.4845855514208476,0.7820411392405063,0.7447916666666666,0.0001,0,0
48,0.45550424134052253,0.484368763367335,0.7834256329113924,0.7479166666666667,0.0001,0,0
49,0.45367496558131043,0.4838323329885801,0.7854694092827004,0.746875,0.0001,0,0
50,0.4517863064627104,0.48491217494010924,0.7866561181434599,0.7494791666666667,0.0001,0,0
51,0.4501388395511651,0.4832233294844627,0.7872494725738397,0.7489583333333333,0.0001,0,0
52,0.4485356175509686,0.48426226725180943,0.790084388185654,0.746875,0.0001,0,0
53,0.4465954157244807,0.4832753524184227,0.7916007383966245,0.7473958333333334,0.0001,0,0
54,0.4448779152415473,0.48294600993394854,0.7937104430379747,0.7479166666666667,0.0001,0,0
55,0.4431132862525147,0.48305391520261765,0.7945675105485233,0.7515625,0.0001,0,0
56,0.4412029046046583,0.4824009969830513,0.7948971518987342,0.746875,0.0001,0,0
57,0.43917597893169663,0.4827117661635081,0.7969409282700421,0.7489583333333333,0.0001,0,0
58,0.4374250755154131,0.48310916125774384,0.7980617088607594,0.7494791666666667,0.0001,0,0
59,0.43556060950087094,0.4826263497273127,0.79957805907173,0.7484375,0.0001,0,0
60,0.43365430464095706,0.48133492668469746,0.8005010548523207,0.7484375,0.0001,0,0
61,0.43182461136629813,0.4807304307818413,0.8022811181434599,0.7489583333333333,0.0001,0,0
62,0.4299110855734298,0.4822814613580704,0.8030722573839663,0.7494791666666667,0.0001,0,0
63,0.42803180434658555,0.4813968688249588,0.8045226793248945,0.7546875,0.0001,0,0
64,0.42618722996757,0.48137178669373193,0.8065005274261603,0.7526041666666666,0.0001,0,0
65,0.4241690564633422,0.480962502459685,0.8061708860759493,0.7505208333333333,0.0001,0,0
66,0.4222545616863146,0.4817490855852763,0.8084124472573839,0.7515625,0.0001,0,0
67,0.4205192351391547,0.48049358973900475,0.8092695147679325,0.7557291666666667,0.0001,0,0
68,0.4185335679207673,0.48074109603961307,0.8106540084388185,0.753125,0.0001,0,0
69,0.4166512262657725,0.48068230400482814,0.8111155063291139,0.7567708333333333,0.0001,0,0
70,0.4146577553658546,0.481264191865921,0.8136207805907173,0.753125,0.0001,0,0
71,0.4126488917236087,0.48078405658404033,0.8139504219409283,0.7557291666666667,0.0001,0,0
72,0.4107209373627031,0.48082592387994133,0.8158623417721519,0.7541666666666667,0.0001,0,0
73,0.40840201689724176,0.484305539727211,0.8170490506329114,0.7494791666666667,0.0001,0,0
74,0.4068100763021139,0.4817701329787572,0.817576476793249,0.7546875,0.0001,0,0
75,0.40476318634260555,0.48097941825787227,0.8187631856540084,0.7541666666666667,0.0001,0,0
76,0.4026234014753551,0.48124242822329205,0.819949894514768,0.7557291666666667,0.0001,0,0
77,0.40079052620547734,0.4804262508948644,0.8225210970464135,0.7536458333333333,0.0001,0,0
78,0.3987878342218037,0.48250568558772405,0.8208069620253164,0.7557291666666667,0.0001,0,0
79,0.39675671380909183,0.4824788401524226,0.8231144514767933,0.7510416666666667,0.0001,0,0
80,0.39484284167425543,0.4818732370932897,0.826081223628692,0.7557291666666667,0.0001,0,0
81,0.3928114562786581,0.48143084943294523,0.8261471518987342,0.75625,0.0001,0,0
82,0.39101123162211243,0.481659808754921,0.8270042194092827,0.753125,0.0001,0,0
83,0.3888688979961198,0.48081674973169963,0.8297072784810127,0.7572916666666667,0.0001,0,0
84,0.38691706244955587,0.48118021289507545,0.8305643459915611,0.75625,0.0001,0,0
85,0.3847660119900724,0.4809525122245153,0.8310917721518988,0.7552083333333334,0.0001,0,0
86,0.38283100482154997,0.4815667410691579,0.8333333333333334,0.753125,0.0001,0,0
87,0.3807222398021553,0.48175879021485646,0.8359045358649789,0.7536458333333333,0.0001,0,0
