epoch,train_loss,val_loss,train_accuracy,val_accuracy,lr,weight_decay,loss_function
1,0.5637168495715419,0.49821811616420747,0.6973892405063291,0.7302083333333333,0.0001,0,weighted_cross_entropy
2,0.4988475673623729,0.49841197083393735,0.7439345991561181,0.725,0.0001,0,weighted_cross_entropy
3,0.47616904609314,0.47554583673675854,0.7606144514767933,0.7598958333333333,0.0001,0,weighted_cross_entropy
4,0.46297610334203215,0.4841230953733126,0.7667457805907173,0.7328125,0.0001,0,weighted_cross_entropy
5,0.4445834559415966,0.47043168048063916,0.7734704641350211,0.7614583333333333,0.0001,0,weighted_cross_entropy
6,0.42934808043865214,0.5133890052636464,0.7875791139240507,0.6953125,0.0001,0,weighted_cross_entropy
7,0.4134808139018872,0.5018899857997894,0.7917325949367089,0.7697916666666667,0.0001,0,weighted_cross_entropy
8,0.3936153671346636,0.5172661957641442,0.8018855485232067,0.7770833333333333,0.0001,0,weighted_cross_entropy
