epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.6392728486899392,0.582367151072531,0.6246455576559546,0.6794507575757576,0.0001,8,16,0.1,0,cross_entropy
2,0.5758441742403971,0.5620815659111197,0.6911034971644613,0.6927083333333334,0.0001,8,16,0.1,0,cross_entropy
3,0.5561819238788914,0.5449801439588721,0.7006143667296786,0.7064393939393939,0.0001,8,16,0.1,0,cross_entropy
4,0.5418289404059629,0.542497533288869,0.7163870510396976,0.7130681818181818,0.0001,8,16,0.1,0,cross_entropy
5,0.5345930511198783,0.5369790358976885,0.7218218336483931,0.7102272727272727,0.0001,8,16,0.1,0,cross_entropy
6,0.5263083019982213,0.5382420429677675,0.7291469754253308,0.7201704545454546,0.0001,8,16,0.1,0,cross_entropy
7,0.5181011037587668,0.5327022536234423,0.7343454631379962,0.7168560606060606,0.0001,8,16,0.1,0,cross_entropy
8,0.5154064194579205,0.5316005340128234,0.7373582230623819,0.7121212121212122,0.0001,8,16,0.1,0,cross_entropy
9,0.509473793250852,0.5291848729054133,0.7370037807183365,0.7163825757575758,0.0001,8,16,0.1,0,cross_entropy
10,0.5026674245559877,0.5336737989476232,0.7449787334593573,0.7182765151515151,0.0001,8,16,0.1,0,cross_entropy
11,0.4985625975974791,0.5329297911940198,0.7478142722117203,0.7168560606060606,0.0001,8,16,0.1,0,cross_entropy
12,0.49536655513685907,0.5341740769870353,0.7477551984877127,0.7168560606060606,0.0001,8,16,0.1,0,cross_entropy
