epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,dropout_rate,weight_decay
1,1.847865144199795,1.8093391986603433,0.2618333333333333,0.28336201502499003,0.0001,0.1,0
2,1.7855127925872802,1.774102749553978,0.30541666666666667,0.30818471006045106,0.0001,0.1,0
3,1.754522156185574,1.7552219916742744,0.32108333333333333,0.31190029209387216,0.0001,0.1,0
4,1.737222637494405,1.7444009366610371,0.33108333333333334,0.31611128500167357,0.0001,0.1,0
5,1.7256643573972914,1.736878067889112,0.3357777777777778,0.32120880273217006,0.0001,0.1,0
6,1.7183996215396458,1.7309616068576246,0.33905555555555555,0.32076554032082255,0.0001,0.1,0
7,1.7113950955073038,1.7270454810866227,0.3425,0.32276022117188635,0.0001,0.1,0
8,1.7055485258102416,1.7233458402309012,0.344,0.3236467459945814,0.0001,0.1,0
9,1.700868287616306,1.720456289061418,0.3476111111111111,0.32608468925699274,0.0001,0.1,0
10,1.6965202462938096,1.7185173279850194,0.34775,0.32940915734209913,0.0001,0.1,0
11,1.693019586775038,1.7166568091575136,0.3501666666666667,0.3316254693988367,0.0001,0.1,0
12,1.689693177541097,1.7151453266752528,0.3522222222222222,0.33140383819316294,0.0001,0.1,0
13,1.6873185751173232,1.7136688021057886,0.35175,0.33073894457614167,0.0001,0.1,0
14,1.6838365630043877,1.713338702283007,0.3546111111111111,0.32985241975344665,0.0001,0.1,0
15,1.681510745578342,1.711750809182512,0.35555555555555557,0.3329552566328793,0.0001,0.1,0
16,1.679362091064453,1.7107281245238393,0.35633333333333334,0.33362015024990055,0.0001,0.1,0
17,1.6768530880610149,1.709902769284891,0.3580277777777778,0.3338417814555743,0.0001,0.1,0
18,1.6750570966932508,1.709372599919637,0.35941666666666666,0.33561483110096435,0.0001,0.1,0
19,1.6731392899619209,1.708370327104068,0.3591388888888889,0.3353931998952906,0.0001,0.1,0
20,1.6710012471940783,1.7080709131051464,0.36,0.33694461833500694,0.0001,0.1,0
21,1.668471181763543,1.7072079815763108,0.36138888888888887,0.3367229871293332,0.0001,0.1,0
22,1.6673510840733845,1.706629827512917,0.3616388888888889,0.3371662495406807,0.0001,0.1,0
23,1.6655308774312336,1.7059868379687586,0.36319444444444443,0.338717667980397,0.0001,0.1,0
24,1.6635937400394016,1.7054132375311344,0.3626388888888889,0.33893929918607074,0.0001,0.1,0
25,1.6610539153416952,1.704881579317945,0.36375,0.33849603677472323,0.0001,0.1,0
26,1.659281897438897,1.7042239786039852,0.3655833333333333,0.338717667980397,0.0001,0.1,0
27,1.6576474339167278,1.703543690079493,0.3641111111111111,0.3376095119520282,0.0001,0.1,0
28,1.656084413210551,1.7031403002164043,0.36644444444444446,0.3391609303917445,0.0001,0.1,0
29,1.654186020957099,1.7025772476872654,0.36719444444444443,0.33938256159741825,0.0001,0.1,0
30,1.6533293131722344,1.7023183555467754,0.36583333333333334,0.338717667980397,0.0001,0.1,0
31,1.6515167950524223,1.7017700579149504,0.3663888888888889,0.33893929918607074,0.0001,0.1,0
32,1.6497454759809707,1.701477180136011,0.36980555555555555,0.3400474552144396,0.0001,0.1,0
33,1.6471743861304389,1.7009871166648594,0.3705833333333333,0.3418205048598296,0.0001,0.1,0
