epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,dropout_rate,weight_decay
1,1.9345902464124891,1.9221843311972653,0.16755555555555557,0.17182937010805657,1e-05,0.2,0.001
2,1.9087823934555053,1.8942167293940875,0.19452777777777777,0.23354714226426807,1e-05,0.2,0.001
3,1.8805562389161852,1.8678096127002797,0.2546111111111111,0.2662703380094352,1e-05,0.2,0.001
4,1.8580621310340033,1.8492772317101769,0.26819444444444446,0.25853931998952906,1e-05,0.2,0.001
5,1.8437235906389025,1.8383834015393088,0.2654444444444444,0.2594258448122241,1e-05,0.2,0.001
6,1.8361485975053575,1.8321723498351186,0.2630277777777778,0.2603123696349191,1e-05,0.2,0.001
7,1.8305239502588908,1.828048254581208,0.26513888888888887,0.26297194410300423,1e-05,0.2,0.001
8,1.8272901686562433,1.8247504690860181,0.26661111111111113,0.268734355450522,1e-05,0.2,0.001
9,1.8227586359447903,1.8217946485424719,0.27294444444444443,0.27139392991860706,1e-05,0.2,0.001
10,1.8200814431508383,1.81893279451005,0.2758611111111111,0.2762698164434298,1e-05,0.2,0.001
11,1.8171739109887017,1.8160833458528451,0.28305555555555556,0.28336201502499003,1e-05,0.2,0.001
12,1.8141112785339355,1.8132521734170035,0.28558333333333336,0.28602158949307516,1e-05,0.2,0.001
13,1.8104147488276163,1.8104555327841576,0.28783333333333333,0.28757300793279145,1e-05,0.2,0.001
14,1.807834810786777,1.807670570434408,0.29305555555555557,0.2915623696349191,1e-05,0.2,0.001
15,1.8039792222976685,1.80491082888123,0.29641666666666666,0.2928921568689617,1e-05,0.2,0.001
16,1.8012315531836616,1.8021828790082999,0.2966111111111111,0.29599499374839433,1e-05,0.2,0.001
17,1.7982525451448228,1.7995176932490464,0.29875,0.2977680433937844,1e-05,0.2,0.001
18,1.79478980339898,1.7969370995852965,0.29983333333333334,0.29976272424484823,1e-05,0.2,0.001
19,1.7925517823961046,1.7944399033877867,0.3020833333333333,0.30020598665619574,1e-05,0.2,0.001
20,1.7891311987770928,1.7920042251018768,0.30441666666666667,0.3004276178618695,1e-05,0.2,0.001
21,1.786931490580241,1.7896704352493826,0.30491666666666667,0.3024222987129333,1e-05,0.2,0.001
22,1.7839363570743136,1.7874008645402624,0.3073888888888889,0.3053035043866922,1e-05,0.2,0.001
23,1.7815068751441108,1.785212125338561,0.30769444444444444,0.30685492282640847,1e-05,0.2,0.001
24,1.7788880642784966,1.783125914580433,0.30905555555555553,0.3070765540320822,1e-05,0.2,0.001
25,1.776767170270284,1.7811431555037802,0.31080555555555556,0.3066332916207347,1e-05,0.2,0.001
26,1.7738450841903686,1.7792473617174946,0.3109722222222222,0.3090712348831461,1e-05,0.2,0.001
27,1.7716870893902248,1.7774432026748117,0.3120277777777778,0.3086279724717986,1e-05,0.2,0.001
28,1.770062673356798,1.7757253815941776,0.31394444444444447,0.30818471006045106,1e-05,0.2,0.001
29,1.7671533937454225,1.7740688755157146,0.3151111111111111,0.3086279724717986,1e-05,0.2,0.001
30,1.7660711554421318,1.7725112531202059,0.31669444444444445,0.3079630788547773,1e-05,0.2,0.001
31,1.7638435427347818,1.7710345087321937,0.31672222222222224,0.3095144972944936,1e-05,0.2,0.001
32,1.7629840964211358,1.7696447397800201,0.3176111111111111,0.30929286608881984,1e-05,0.2,0.001
33,1.760980648358663,1.7682947326213756,0.32022222222222224,0.3106226533228624,1e-05,0.2,0.001
34,1.759110796822442,1.767009974371457,0.3214722222222222,0.3123957029682525,1e-05,0.2,0.001
35,1.757853358162774,1.7657901141660433,0.3208611111111111,0.31195244055690496,1e-05,0.2,0.001
36,1.7562635039223564,1.7646098483538797,0.3208888888888889,0.3121740717625787,1e-05,0.2,0.001
37,1.7554539292653402,1.7635057116231174,0.32272222222222224,0.31150917814555745,1e-05,0.2,0.001
38,1.7534468732410007,1.7624416038499657,0.3229722222222222,0.3110659157342099,1e-05,0.2,0.001
39,1.7528545014063517,1.7614386267695867,0.32158333333333333,0.31084428452853613,1e-05,0.2,0.001
40,1.7510713871849908,1.7604524674990498,0.3248888888888889,0.31195244055690496,1e-05,0.2,0.001
41,1.7502362765206232,1.7595297131978027,0.32608333333333334,0.31347778481794586,1e-05,0.2,0.001
42,1.749101542684767,1.7586469058449388,0.32413888888888887,0.3132561536122721,1e-05,0.2,0.001
43,1.7480348910225763,1.7577888323060165,0.3263611111111111,0.3132561536122721,1e-05,0.2,0.001
44,1.747249025768704,1.7569760954971854,0.32672222222222225,0.3128128912009246,1e-05,0.2,0.001
45,1.7467465312745836,1.7561948324771637,0.3268333333333333,0.31259125999525084,1e-05,0.2,0.001
46,1.745152496655782,1.7554308142222412,0.32666666666666666,0.31323007932791475,1e-05,0.2,0.001
47,1.7438904818428886,1.7546927920470001,0.32919444444444446,0.313008448122241,1e-05,0.2,0.001
48,1.743606700261434,1.7539867069704314,0.3267777777777778,0.31278681691656723,1e-05,0.2,0.001
49,1.7430576043658785,1.7533205164239762,0.32925,0.3134517105335885,1e-05,0.2,0.001
50,1.7416531763076781,1.752642920676698,0.3282777777777778,0.3154463913846523,1e-05,0.2,0.001
51,1.741554360707601,1.7519984160754698,0.3298611111111111,0.3154463913846523,1e-05,0.2,0.001
52,1.7405162082248264,1.7513814741838063,0.3327222222222222,0.3150031289733048,1e-05,0.2,0.001
53,1.7395080169041952,1.7507758005291012,0.33063888888888887,0.31566802259032606,1e-05,0.2,0.001
54,1.7380377151701185,1.7501824713767844,0.3323888888888889,0.31566802259032606,1e-05,0.2,0.001
55,1.7382256033155654,1.7496154088500544,0.33205555555555555,0.31522476017897855,1e-05,0.2,0.001
56,1.7380101402070787,1.7490716716076464,0.3313333333333333,0.31566802259032606,1e-05,0.2,0.001
57,1.7366557881037394,1.7485375260630398,0.33169444444444446,0.3158896537959998,1e-05,0.2,0.001
58,1.7363744179407756,1.748008741554639,0.3309166666666667,0.31788433464706367,1e-05,0.2,0.001
59,1.7352861807081434,1.747495063653229,0.3323611111111111,0.31655454741302114,1e-05,0.2,0.001
60,1.7353656706280178,1.747000074555688,0.3338055555555556,0.3187708594697587,1e-05,0.2,0.001
61,1.7345572651757135,1.7465169945507184,0.33294444444444443,0.3183275970584112,1e-05,0.2,0.001
62,1.7334946930143569,1.7460415219584255,0.33352777777777776,0.32007457241944387,1e-05,0.2,0.001
